Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3
abacavir,B3,,Antimicrobianos,agentes antivirales,
abacavir / dolutegravir / lamivudina,B3,,Antimicrobianos,agentes antivirales,
abacavir / lamivudina / zidovudina,B3,,Antimicrobianos,agentes antivirales,
abacavir/lamivudina,B3,,Antimicrobianos,agentes antivirales,
abatacept,do,,Alergia y sistema inmunológico,Inmunomodificadores,
abciximab,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,
abemaciclib,D," Según los resultados de estudios realizados en animales y su mecanismo de acción, abemaciclib puede dañar al feto.",Agentes antineoplásicos,,
abiraterona,D,Los antiandrógenos tienen el potencial de provocar la feminización del feto masculino a las 8 semanas o más de la concepción y se debe evitar la exposición durante el embarazo.,Sistema endocrino,Antiandrógenos,
acalabrutinib,do,"Según hallazgos en animales, acalabrutinib puede causar daño fetal.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
acamprosato,B2,," Agentes desintoxicantes, antídotos",,
acarbosa,B3,,Sistema endocrino,agentes hipoglucemiantes,
acetazolamida,B3,,Sistema cardiovascular,Diuréticos,inhibidor de la anhidrasa carbónica
acetazolamida (oftálmica),B3,,Medicamentos oftálmicos,,
acetilcolina,B2,,Medicamentos oftálmicos,,
acetilcisteína,B2,,Sistema respiratorio,,
acetilcisteína (inhalada),B2,,Sistema respiratorio,Expectorantes y mucolíticos,
acetilcisteína (intravenosa),B2,," Agentes desintoxicantes, antídotos",,
aciclovir,B3,,Antimicrobianos,agentes antivirales,
aciclovir (tópico),B3,,Medicamentos utilizados en Dermatología,antiviral tópico,
acitretina,incógnita,"Este medicamento es teratogénico en dosis dentro del rango terapéutico. Se almacena en el organismo durante varios meses después de suspenderlo. Debido a su larga vida media y a su almacenamiento en la grasa, se recomienda a las pacientes no concebir hasta dos años después de suspender el tratamiento debido al riesgo de malformaciones congénitas. Si se produce un embarazo durante el tratamiento con este medicamento, existe un alto riesgo de malformaciones congénitas.",Medicamentos utilizados en Dermatología,Sistémico,
bromuro de aclidinio,B3,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo
bromuro de aclidinio/fumarato de eformoterol,B3,,Sistema respiratorio,Agentes inhalatorios,
actinomicina D (dactinomicina),D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,
adalimumab,do,"El adalimumab atraviesa la barrera placentaria. Debido a su inhibición del TNF-alfa, la administración de adalimumab durante el embarazo podría afectar la respuesta inmunitaria del recién nacido y del lactante expuestos intrauterinamente.",Alergia y sistema inmunológico,Inmunomodificadores,
adapaleno,D,"Se han reportado casos aislados de defectos congénitos en bebés nacidos de mujeres que usan este medicamento. Debido al riesgo potencial de efectos adversos en el desarrollo fetal, adapaleno no debe ser usado por mujeres embarazadas o que planeen quedar embarazadas durante el tratamiento.",Medicamentos utilizados en Dermatología,Actual,
adefovir,B3,,Antimicrobianos,agentes antivirales,
adenosina,B2,,Sistema cardiovascular,Antiarrítmicos,
adrenalina (epinefrina),A,,Sistema cardiovascular,estimulantes adrenérgicos,
afamelanotida,B1,,Medicamentos utilizados en dermatología,Sistémico,
afatinib,do,Este fármaco inhibe el EGFR. El EGFR desempeña un papel importante en el desarrollo embriofetal.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
aflibercept,D,,Medicamentos oftálmicos,,
agalsidasa alfa,B2,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
agalsidasa beta,B2,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
agomelatina,B1,,Sistema nervioso central,antidepresivos,
alatrofloxacina,B3,,Antimicrobianos,Antibióticos,Quinolonas
albendazol,D,"En estudios con animales, el albendazol es teratogénico en varias especies. Hasta que se disponga de datos en humanos, debe sospecharse su teratogénesis.",Antimicrobianos,Antihelmínticos,
albutrepenonacog alfa,B2,,Sistema cardiovascular,Agentes hemostáticos,
alcuronio,B2,,Medicamentos utilizados en anestesia,Agentes bloqueadores neuromusculares,
aldesleucina,do,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,
alectinib,D," Alectinib causó letalidad embriofetal en ratas y conejos, anomalías viscerales y esqueléticas en ratas, y malformaciones viscerales y variaciones esqueléticas en conejos.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
alefacept,do,,Alergia y sistema inmunológico,Inmunomodificadores,
alemtuzumab,B2,,Agentes antineoplásicos,anticuerpos monoclonales,
alendronato,B3,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,Bifosfonatos
alfentanilo,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides
alfuzosina,B2,,Sistema genitourinario,Hiperplasia de próstata,
alginatos/antiácidos,A,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",
alglucerasa,B3,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
alglucosidasa alfa,B1,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
alimemazina,do,"Cuando se administran en dosis altas al final del embarazo, las fenotiazinas han provocado trastornos neurológicos prolongados en el bebé.",Alergia y sistema inmunológico,Antihistamínicos,
alirocumab,B1,,Sistema cardiovascular,Agentes hipolipidémicos,
aliskiren,D,"Cuando se usan durante el segundo y tercer trimestre del embarazo, los medicamentos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante el primer trimestre. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar ARA para el manejo de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Antagonistas del receptor de angiotensina II e inhibidores de la renina
extracto de polen alergénico de 5 gramíneas,B2,,Alergia y sistema inmunológico,,
alopurinol,B2,,Sistema musculoesquelético,Agentes utilizados en la gota y la hiperuricemia,
alogliptina/metformina,do,Es importante lograr una normoglucemia estricta durante el embarazo.,Sistema endocrino,agentes hipoglucemiantes,
benzoato de alogliptina,B3,,Sistema endocrino,agentes hipoglucemiantes,
alpelisib,D," Según datos en animales y su mecanismo de acción, alpelisib puede causar daño fetal cuando se administra a una mujer embarazada.",Agentes antineoplásicos,,
inhibidor de la alfa-1-proteinasa,B2,,Sistema respiratorio,,
alprazolam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,
alprenolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,
alteplasa,B1,,Sistema cardiovascular,agentes fibrinolíticos,
altretamina (hexametilmelamina),D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,
amantadina,B3,,Sistema nervioso central,Agentes antiparkinsonianos,
cloruro de ambenonio,B2,,Medicamentos utilizados en la miastenia grave,,
